Board
JobName,PCBResult,PCBName
C:\KohYoung\KY_JOB\627-351-12A_BOT_JOB_DS-406546\627-351-12A_BOT_JOB_DS-406546.mdb,GOOD,627-351-12ABOT_JOB_DS-406546
Panel 
 ArrayBarcode,PanelResult,PanelInspectionDate,PanelInspectionStartTime,PanelInspectionEndTime 
508BFD5,GOOD,2026-06-12,14:09:02,14:09:31
Pad 
 ComponentID,PadNo,Volume,Height,Area,OffsetX,OffsetY,PadResult 
BD48,73,127.5595,147.7027,109.6802,7.072867E-05,-0.008608112,GOOD,
BD48,74,118.8485,135.7902,111.155,-0.004499862,-0.005032172,GOOD,
BD49,75,127.235,147.3302,109.6777,0.002296264,0.01247677,GOOD,
BD49,76,112.43,129.2433,110.4786,-0.002060902,-0.003893039,GOOD,
BD50,77,132.5437,150.2701,112.0186,-0.003348683,0.004802875,GOOD,
BD50,78,116.9566,131.5694,112.8947,-0.007714381,-0.0116718,GOOD,
BD51,79,124.8164,140.4304,112.8793,-0.002001162,-0.02381317,GOOD,
BD51,80,122.9778,139.6812,111.8131,-0.006427838,-0.02281919,GOOD,
BD52,81,124.4029,141.68,111.5131,0.006182725,-0.02886121,GOOD,
BD52,82,117.6069,133.0499,112.2591,0.005807124,-0.02621707,GOOD,
BD53,83,117.8101,135.8094,110.1682,-0.003026728,-0.02606826,GOOD,
BD53,84,114.007,129.4848,111.8193,0.0003536434,-0.02385588,GOOD,
BD54,85,120.312,139.277,109.7067,0.001270698,-0.02371928,GOOD,
BD54,86,111.9016,129.0337,110.138,-0.005102274,-0.02892951,GOOD,
BD55,87,124.884,143.7341,110.3446,0.0007780154,-0.02629756,GOOD,
BD55,88,122.3017,136.392,113.88,0.005058379,-0.02540966,GOOD,
BD56,89,118.6161,136.5466,110.3231,4.633327E-05,-0.0238705,GOOD,
BD56,90,112.1976,128.4259,110.9519,-0.0004048717,-0.02298994,GOOD,
BD57,91,115.4705,133.5267,109.8264,0.0008853471,-0.02241061,GOOD,
BD57,92,108.1344,122.374,112.2222,-0.005863227,-0.0149831,GOOD,
BD58,93,125.317,139.8026,113.8409,-0.002274326,-0.009576496,GOOD,
BD58,94,125.1402,138.5641,114.6964,-0.006748574,-0.007061639,GOOD,
BD59,95,119.1544,139.33,108.6098,-0.01373005,-0.01391836,GOOD,
BD59,96,108.1296,124.6529,110.1656,-0.0106277,-0.01041072,GOOD,
BD60,97,119.158,139.437,108.5298,-0.01068015,0.00205872,GOOD,
BD60,98,111.0024,126.7963,111.1807,-0.005046171,-0.004476024,GOOD,
BD61,99,131.8037,150.7965,111.0043,-0.005119357,-0.003385688,GOOD,
BD61,100,119.6895,132.8888,114.3856,0.0005329026,0.0009976582,GOOD,
BD62,101,119.9141,139.0848,109.495,-0.004141324,-0.02754767,GOOD,
BD62,102,114.2542,130.6383,111.0722,-0.0003902265,-0.02709763,GOOD,
BD63,103,116.0595,135.9672,108.4052,-0.009572866,-0.001365973,GOOD,
BD63,104,115.6602,129.4295,113.4892,-0.003870617,-0.00620058,GOOD,
BD64,105,120.2104,139.0978,109.7552,-0.01510439,-0.01586488,GOOD,
BD64,106,110.0894,125.645,111.2767,-0.00942044,-0.01106688,GOOD,
BD65,107,121.5683,134.5883,114.7141,0.01040942,-0.005628566,GOOD,
BD65,108,131.3232,143.1561,116.5025,0.005853476,-0.002136792,GOOD,
BD66,109,130.5767,150.187,110.4172,0.006051017,0.01365493,GOOD,
BD66,110,118.5874,134.3885,112.0676,0.00167555,-0.002841729,GOOD,
BD67,111,126.1831,145.9007,109.8367,0.0004012154,0.01602953,GOOD,
BD67,112,113.8991,130.1172,111.1705,-0.003980366,-0.0004256438,GOOD,
BD68,113,123.8158,143.1357,109.858,-0.004923015,0.008377596,GOOD,
BD68,114,111.2504,128.8464,109.6562,-0.009630188,-0.008040993,GOOD,
BD69,115,129.3028,148.8706,110.3069,0.004627893,0.0144855,GOOD,
BD69,116,123.8579,137.3894,114.4917,0.0001987795,-0.001902618,GOOD,
BD70,117,125.765,146.372,109.1202,-0.0009670448,0.01671375,GOOD,
BD70,118,113.1714,128.1387,112.1657,-0.005426647,0.0003122241,GOOD,
BD71,119,126.1329,145.7932,109.874,-0.005281534,0.008881311,GOOD,
BD71,120,114.4037,127.7379,113.7429,-0.01103745,-0.007562896,GOOD,
BD72,121,119.0064,132.5396,114.0325,0.008865579,-0.02906855,GOOD,
BD72,122,124.6552,138.3237,114.4504,0.004441321,-0.03385436,GOOD,
BD73,123,122.0976,134.2318,115.5196,0.00135849,0.002864908,GOOD,
BD73,124,121.4409,133.9562,115.1346,-0.003237695,-0.0007573906,GOOD,
BD74,125,113.1842,134.1003,107.1914,-0.00289502,-0.0247157,GOOD,
BD74,126,113.741,131.2431,110.0637,-0.003116976,-0.02775013,GOOD,
BD75,127,112.6043,133.1634,107.3925,-0.0006682661,-0.02747084,GOOD,
BD75,128,114.6328,129.9879,111.9979,0.002265775,-0.03313234,GOOD,
BD76,129,112.7533,134.9179,106.1362,0.006602222,-0.02775135,GOOD,
BD76,130,113.637,131.744,109.5451,0.007660734,-0.0338568,GOOD,
BD77,131,115.3366,135.9417,107.7502,-0.005473,-0.03054428,GOOD,
BD77,132,111.7483,129.1699,109.8711,-0.006921739,-0.0296686,GOOD,
BD78,133,118.6254,139.4854,108.0072,0.0011902,-0.03404461,GOOD,
BD78,134,114.9632,135.4733,107.7727,-0.00151703,-0.03099311,GOOD,
BD79,135,122.4606,141.8038,109.6762,-0.0021414,-0.00806783,GOOD,
BD79,136,113.3529,127.4128,112.9856,-0.002282858,-0.01503921,GOOD,
BD80,137,115.4944,135.8096,108.0026,-0.002592605,-0.02497305,GOOD,
BD80,138,113.1448,129.679,110.8074,-0.00849729,-0.02189105,GOOD,
BD81,139,122.9869,142.1875,109.8503,-0.003529161,-0.00815807,GOOD,
BD81,140,109.6702,124.079,112.2519,-0.007758296,-0.008114169,GOOD,
BD82,141,124.3889,146.4132,107.8959,-0.000726807,-0.01370615,GOOD,
BD82,142,115.9355,130.8797,112.4988,0.001346302,-0.009632607,GOOD,
BD83,143,127.6281,145.3581,111.5092,0.00696076,-0.01196453,GOOD,
BD83,144,113.4524,128.6515,111.996,-0.005641291,-0.00848616,GOOD,
BD84,145,125.3529,144.2371,110.3726,0.006421744,-0.004119899,GOOD,
BD84,146,117.3113,131.2738,113.4921,-0.0002097485,-0.000673225,GOOD,
BD85,147,120.9468,141.2857,108.7176,0.004080365,-0.01002532,GOOD,
BD85,148,109.8576,123.9303,112.5787,0.006772949,-0.004262593,GOOD,
BD86,149,118.1862,129.8735,115.5713,0.008619227,-0.01099614,GOOD,
BD86,150,122.5697,137.2944,113.3794,0.004246198,-0.01367687,GOOD,
BD87,151,121.7633,140.0542,110.4139,0.002380419,-0.008098302,GOOD,
BD87,152,112.4783,128.698,110.9943,-0.0008024108,-0.005010212,GOOD,
BD88,153,124.3941,142.2883,111.0285,0.008489978,-0.01644299,GOOD,
BD88,154,119.3977,134.5709,112.6804,0.001295074,-0.01564535,GOOD,
BD89,155,121.3057,139.9037,110.1174,-0.004082803,-0.0122426,GOOD,
BD89,156,114.4358,127.8322,113.6908,-0.006341265,-0.02095316,GOOD,
BD90,157,120.104,138.3267,110.2695,-0.0002731645,-0.005663934,GOOD,
BD90,158,114.7938,129.5764,112.5113,0.004731548,-0.008703248,GOOD,
BD91,159,122.0348,138.8485,111.621,-0.001236553,-0.008922774,GOOD,
BD91,160,112.5169,128.5467,111.1631,-0.009721636,-0.004554075,GOOD,
BD92,161,121.5394,141.1738,109.3369,0.003631597,-0.01400374,GOOD,
BD92,162,115.3237,130.5796,112.1623,-0.004207177,-0.01185232,GOOD,
BD94,163,110.7769,127.5568,110.2934,-0.006188819,0.002266057,GOOD,
BD94,164,120.0553,140.9722,108.1563,-0.01049234,0.002695378,GOOD,
BD95,165,108.6878,125.0174,110.4114,-0.0006572971,0.0002146503,GOOD,
BD95,166,117.2357,138.5843,107.4359,-0.005258377,0.004990709,GOOD,
BD96,167,117.4833,132.0166,113.0189,0.0008365564,0.002903934,GOOD,
BD96,168,124.8694,138.8225,114.2352,-0.001574332,0.005443189,GOOD,
BD97,169,105.8952,121.5079,110.6816,0.01065697,-0.0104278,GOOD,
BD97,170,119.4482,137.2292,110.5444,-0.001109721,-0.008206867,GOOD,
BD98,171,105.6564,123.2439,108.8765,-0.003814513,-0.004321141,GOOD,
BD98,172,118.9017,139.4985,108.2486,-0.007071728,-0.006000557,GOOD,
BD99,173,112.474,129.574,110.2397,0.001727997,0.001694063,GOOD,
BD99,174,125.7738,145.9048,109.4774,-0.009987487,-0.0008476309,GOOD,
BD100,175,131.3295,158.177,105.4442,-0.004744975,-0.005956656,GOOD,
BD100,176,118.5297,132.5604,113.5579,-0.002692604,-0.002392905,GOOD,
BD101,177,120.1343,139.0092,109.7557,0.001132897,0.003012478,GOOD,
BD101,178,113.4156,142.4874,101.0881,-0.003337694,0.006532307,GOOD,
BD114,179,119.7572,141.2057,107.7093,0.0002170611,0.009920432,GOOD,
BD114,180,126.6289,157.5553,102.0713,0.003448662,0.004527259,GOOD,
BD115,181,123.2936,146.7359,106.7107,0.007921691,-0.006212769,GOOD,
BD115,182,130.8198,158.5326,104.7994,0.01122648,-0.001518438,GOOD,
BD123,183,124.5621,150.5152,105.1015,0.004377905,-0.005479777,GOOD,
BD123,184,124.0037,162.0744,97.16817,0.007641214,-0.01082661,GOOD,
BD156,185,117.0459,128.7485,115.4564,0.0009999715,-0.007611673,GOOD,
BD156,186,127.5879,143.419,112.9813,0.006514431,-0.004032076,GOOD,
BD157,187,125.5051,147.1452,108.3226,0.005987622,0.00383573,GOOD,
BD157,188,117.2711,133.3237,111.7088,0.00045608,0.007350684,GOOD,
BD158,189,122.6924,143.6011,108.5085,0.00255846,-0.003989394,GOOD,
BD158,190,107.9352,125.8806,108.895,-0.004897401,-0.000485411,GOOD,
BD159,191,121.9115,142.1684,108.9044,-0.001168262,-0.001894086,GOOD,
BD159,192,107.3908,125.8022,108.4133,-0.01023869,0.001591613,GOOD,
BD160,193,120.0614,142.7268,106.8321,0.009131411,8.536455E-05,GOOD,
BD160,194,107.9449,126.7725,108.1386,0.00441205,0.003543009,GOOD,
BD161,195,118.7838,141.8986,106.3121,0.003868179,0.001961167,GOOD,
BD161,196,108.0214,125.974,108.9012,-0.0009121601,0.005376108,GOOD,
BD162,197,122.4924,144.0213,108.0155,-0.0008085046,-0.005141936,GOOD,
BD162,198,115.2246,129.9558,112.6039,-0.0004658302,-0.001631858,GOOD,
BD163,199,117.59,131.008,113.9925,0.007521715,0.003945493,GOOD,
BD163,200,130.9936,144.3177,115.2748,0.01291178,0.007462884,GOOD,
BD164,201,129.2465,140.0015,117.2438,0.000976795,-0.01100346,GOOD,
BD164,202,135.272,145.8624,117.7791,-0.00343038,-0.007500691,GOOD,
BD165,203,126.4393,149.0012,107.7695,0.0001573213,-0.009503321,GOOD,
BD165,204,123.9917,137.9297,114.1664,0.002923072,-0.006002995,GOOD,
BD166,205,122.7829,145.7341,106.9992,-0.00355965,-0.007237264,GOOD,
BD166,206,119.5384,133.1829,113.989,-0.002691386,-0.003725947,GOOD,
BD167,207,121.947,144.4696,107.2009,-0.003808419,-0.00500046,GOOD,
BD167,208,117.4553,134.0837,111.2501,-0.008291199,-0.001476975,GOOD,
BD168,209,121.5754,143.8687,107.3206,0.0005560792,-0.002758802,GOOD,
BD168,210,117.8246,132.0682,113.303,0.006114434,0.0007768934,GOOD,
BD169,211,122.507,144.8056,107.4433,-0.004982775,-0.0005463971,GOOD,
BD169,212,119.3838,135.2947,112.0645,0.0005633918,0.002995393,GOOD,
BD170,213,121.7348,143.0957,108.0418,-0.002634064,-0.008314191,GOOD,
BD170,214,114.5017,127.0021,114.4998,-0.004952285,-0.004765069,GOOD,
BD171,215,119.8838,140.2128,108.5867,0.004543758,-0.004012574,GOOD,
BD171,216,117.9847,132.5953,113.006,-0.0005682669,-0.0004878488,GOOD,
BD172,217,118.2222,139.4829,107.642,-0.001846278,-0.00166357,GOOD,
BD172,218,112.8143,128.0988,111.8467,-0.00602908,0.001863593,GOOD,
BD173,219,116.302,136.769,107.9949,0.003575494,0.000704937,GOOD,
BD173,220,113.8834,128.2119,112.8069,0.008482666,0.004224786,GOOD,
BD174,221,117.3658,138.5625,107.572,-0.001246303,0.003022229,GOOD,
BD174,222,113.9742,128.6405,112.5207,0.003019415,0.006532307,GOOD,
BD175,223,116.999,137.4245,108.1239,0.001470677,0.005352929,GOOD,
BD175,224,112.9908,127.2998,112.7247,-0.002448711,0.008855693,GOOD,
BD176,225,119.184,139.2911,108.6672,-0.004924234,-0.002357536,GOOD,
BD176,226,115.7221,130.6513,112.4881,-0.007914378,0.001137914,GOOD,
BD183,227,120.6108,144.9097,105.7043,9.024899E-05,-0.01289145,GOOD,
BD183,228,120.8781,144.3214,106.3704,-0.004748631,-0.01508189,GOOD,
BD191,229,124.2955,152.6673,103.3982,0.002302358,0.007017718,GOOD,
BD191,230,113.591,135.1962,106.7046,0.004419363,-0.003885726,GOOD,
BD195,231,113.4941,136.9768,105.2277,0.01039967,-0.009552098,GOOD,
BD195,232,109.9917,140.169,99.6579,-0.006777825,-0.01178402,GOOD,
BD198,233,121.2771,145.3584,105.9601,-0.005982726,-0.003800361,GOOD,
BD198,234,121.449,155.2198,99.36887,-0.003160872,-0.005990805,GOOD,
BD1_A,235,120.2955,145.0992,105.2903,-0.006729054,-0.02019455,GOOD,
BD1_A,236,115.1847,138.48,105.6359,-0.005440074,-0.01667716,GOOD,
BD1_AA,237,119.3646,153.4195,98.80948,0.003734034,-0.003161266,GOOD,
BD1_AA,238,124.1666,149.9125,105.1891,0.006451014,-0.005302934,GOOD,
BD1_B,239,114.481,138.1402,105.2487,0.001977985,-0.001961167,GOOD,
BD1_B,240,117.2164,143.3429,103.8523,0.004131574,0.0009598517,GOOD,
BD1_BB,241,122.2076,158.0776,98.18195,-0.005209587,-0.004577255,GOOD,
BD1_BB,242,128.2368,156.1873,104.2727,-0.002375524,0.00329299,GOOD,
BD1_CC,243,120.3546,152.0718,100.5119,0.007947305,0.003449092,GOOD,
BD1_CC,244,124.1362,149.6128,105.374,-0.00924116,0.01121567,GOOD,
BD1_DD,245,122.7746,160.1812,97.34206,-0.003892554,0.003653991,GOOD,
BD1_DD,246,126.2651,153.1606,104.6984,-0.001204845,0.01157425,GOOD,
BD202,247,112.6392,133.0405,107.525,-0.001679207,-0.0003768669,GOOD,
BD202,248,108.9804,133.8884,103.3735,0.00108045,0.007523871,GOOD,
BD2_A,249,107.0494,125.9253,107.963,-0.0006341205,-0.004924848,GOOD,
BD2_A,250,129.2095,155.4324,105.5739,0.003842565,-0.007183591,GOOD,
BD2_B,251,107.3875,123.1762,110.7211,-0.01149964,-0.005209017,GOOD,
BD2_B,252,128.655,152.3461,107.2505,-0.0009145976,0.002620984,GOOD,
BD37_A,253,117.6442,137.7783,108.441,0.005375439,-0.004647992,GOOD,
BD37_A,254,134.0373,162.1288,104.9951,0.008207063,-0.0009793545,GOOD,
BD37_B,255,116.2835,135.6869,108.8388,0.003836471,-0.005044362,GOOD,
BD37_B,256,136.8239,160.8708,108.0161,0.01160452,-0.007188467,GOOD,
BD38_A,257,111.6963,133.315,106.4054,0.01120696,-0.007662908,GOOD,
BD38_A,258,121.3013,151.5895,101.6248,0.0140398,0.000704937,GOOD,
BD38_B,259,116.832,137.591,107.839,0.009424096,-0.003385688,GOOD,
BD38_B,260,123.4583,149.1208,105.1443,0.001704821,-0.005502957,GOOD,
BD3_A,261,109.1474,136.2309,101.7516,-0.005012025,-0.01295241,GOOD,
BD3_A,262,108.8657,136.761,101.0956,-0.002665772,-0.004961435,GOOD,
BD3_B,263,108.1106,126.2286,108.7712,0.004653507,0.006944543,GOOD,
BD3_B,264,116.9501,135.8963,109.294,0.006816865,0.009870437,GOOD,
BD40_A,265,121.4233,149.2302,103.3353,0.00791316,-0.007912926,GOOD,
BD40_A,266,120.2336,150.5211,101.4454,0.0008463065,-0.01926032,GOOD,
BD40_B,267,123.7521,143.5017,109.5215,0.00588031,0.01121079,GOOD,
BD40_B,268,121.0857,142.5445,107.8812,0.008107064,-0.005810285,GOOD,
BD48_A,269,125.054,145.6842,109.0156,-0.0005207149,-0.01397813,GOOD,
BD48_A,270,119.6141,143.5714,105.8079,-0.00575104,-0.0197994,GOOD,
BD48_B,271,121.6844,139.6753,110.6418,0.004455946,0.0006366374,GOOD,
BD48_B,272,122.4796,145.0307,107.2525,0.005990059,-0.002209967,GOOD,
BD49_A,273,109.5761,138.0548,100.8018,0.000970701,-0.02707445,GOOD,
BD49_A,274,115.2383,145.9052,100.3067,0.003692556,0.002029466,GOOD,
BD49_B,275,109.8413,133.7238,104.3183,0.00406572,-0.002661228,GOOD,
BD49_B,276,122.7479,148.3938,105.0514,0.006787595,-0.004832149,GOOD,
BD52_A,277,129.7556,154.8335,106.4302,0.007588787,-0.01921398,GOOD,
BD52_A,278,127.9821,154.2983,105.3396,0.009730187,-0.02194105,GOOD,
BD52_B,279,125.791,150.6312,106.0567,0.0001036555,-0.00276124,GOOD,
BD52_B,280,118.6121,146.9241,102.5273,-0.007563173,6.09861E-05,GOOD,
BD53_A,281,124.8059,148.0698,107.0464,-0.004763256,-0.0132866,GOOD,
BD53_A,282,117.8956,147.9043,101.2326,-0.01268009,-0.0128768,GOOD,
BD53_B,283,123.4736,140.4418,111.6559,0.008177793,0.009091086,GOOD,
BD53_B,284,116.6227,139.6216,106.0802,-0.00531446,-0.006274974,GOOD,
BD54_A,285,111.5199,142.2598,99.55751,-0.0010707,-0.02068971,GOOD,
BD54_A,286,126.3694,159.7245,100.4787,0.001626779,-0.01203039,GOOD,
BD54_B,287,118.3577,137.5572,109.274,0.00168532,0.01329879,GOOD,
BD54_B,288,118.2247,145.8169,102.9685,0.004390113,0.01112299,GOOD,
BD55_A,289,131.966,156.4276,107.1402,0.008038773,-0.01464404,GOOD,
BD55_A,290,127.9322,150.4722,107.976,0.006375411,-0.0173821,GOOD,
BD55_B,291,128.1694,151.9232,107.143,0.01081917,0.002912466,GOOD,
BD55_B,292,126.9101,154.1508,104.5572,0.008848497,0.005837121,GOOD,
BD56_A,293,129.6992,151.7484,108.5468,-0.006883918,-0.008559335,GOOD,
BD56_A,294,125.5091,150.4701,105.9324,0.007946086,-0.01866758,GOOD,
BD56_B,295,124.3643,142.6668,110.7074,-0.002324316,0.001412332,GOOD,
BD56_B,296,121.544,144.1847,107.0578,-0.000514621,-0.001483069,GOOD,
BD57_A,297,121.301,145.2111,106.0885,0.007974138,-0.01259385,GOOD,
BD57_A,298,124.4503,148.025,106.7737,0.01023991,-0.02196179,GOOD,
BD57_B,299,119.5491,138.5834,109.5566,0.006191256,0.00329299,GOOD,
BD57_B,300,123.5675,146.2797,107.2813,-0.00877533,0.006188371,GOOD,
BD59_A,301,126.5005,145.0983,110.7219,0.005316898,-0.005715169,GOOD,
BD59_A,302,119.2653,144.9132,104.5225,-0.005043733,-0.001122048,GOOD,
BD59_B,303,118.4773,136.0908,110.563,0.005340075,0.004040609,GOOD,
BD59_B,304,121.118,149.5347,102.8657,-0.01018627,0.006977473,GOOD,
BD60_A,305,111.5227,137.8653,102.7335,0.004036449,-0.01961157,GOOD,
BD60_A,306,121.6339,151.7269,101.8112,0.006777825,0.01179621,GOOD,
BD60_B,307,111.5406,130.9873,108.1453,0.01050698,0.002805141,GOOD,
BD60_B,308,126.4148,147.7201,108.6831,0.01335201,0.0008647158,GOOD,
BD63_A,309,128.0527,148.8982,109.2202,-0.00317306,-0.00992287,GOOD,
BD63_A,310,123.001,151.1907,103.3207,-0.006685158,-0.004744347,GOOD,
BD63_B,311,127.2072,150.1747,107.5768,-0.002115786,-0.0107705,GOOD,
BD63_B,312,122.4254,150.3723,103.3969,0.0001719466,-0.007815354,GOOD,
BD64_A,313,116.0561,141.9974,103.7985,-0.002835281,-0.01551363,GOOD,
BD64_A,314,111.481,140.2438,100.9534,-0.003175518,-0.01589781,GOOD,
BD64_B,315,120.2247,137.7909,110.8095,0.01661654,-0.007544592,GOOD,
BD64_B,316,121.667,148.6107,103.9744,-0.002004818,-0.004651649,GOOD,
BD65_A,317,111.161,136.5302,103.4016,0.001585321,-0.009993608,GOOD,
BD65_A,318,129.9314,165.911,99.45866,0.004314489,-0.002227032,GOOD,
BD65_B,319,118.6156,138.0345,109.1335,0.008271678,-0.01114005,GOOD,
BD65_B,320,129.4378,156.4867,105.0479,0.01105575,-0.01317318,GOOD,
BD66_A,321,132.3357,153.5247,109.4718,0.01587267,-0.01214015,GOOD,
BD66_A,322,135.1026,156.0828,109.929,0.008724122,-0.01481113,GOOD,
BD66_B,323,136.4949,153.119,113.2117,0.0132697,-0.001451357,GOOD,
BD66_B,324,134.8715,158.8154,107.8528,0.005540073,0.001506229,GOOD,
BD67_A,325,124.9146,143.7468,110.3618,0.01563853,-0.008834972,GOOD,
BD67_A,326,120.5654,145.1333,105.5016,0.008428999,-0.004241851,GOOD,
BD67_B,327,119.4563,137.7037,110.171,0.0133825,-0.005260251,GOOD,
BD67_B,328,121.2399,147.0389,104.7169,0.00308405,-0.002311197,GOOD,
BD68_A,329,124.2642,143.3889,110.0613,0.009277743,0.006507928,GOOD,
BD68_A,330,122.8144,146.3094,106.6058,0.00376818,0.00657377,GOOD,
BD68_B,331,120.2933,143.0362,106.8069,0.004904713,-0.0008866763,GOOD,
BD68_B,332,121.9966,147.5253,105.0231,0.004507175,0.00202579,GOOD,
